Comarca,Codi Comarca,Dona,Home,Suma total,COMARCA nom idescat,POBLACIÓ HOMES,POBLACIÓ DONES,POBLACIÓ TOTAL,taxa homes x 10.000,taxa dones x 10.000,taxa total,Diferència taxa home dona,MÉS DONES QUE HOMES,ratio
Moianès,42,11,6,17,Moianès,6.899,6.584,13.483,"8,7","16,7","12,6","-8,0",SÍ,"0,52"
Garrotxa,19,48,33,81,Garrotxa,28.079,28.388,56.467,"11,8","16,9","14,3","-5,2",SÍ,"0,70"
Val d'Aran,39,4,2,6,Aran,5.190,4.781,9.971,"3,9","8,4","6,0","-4,5",SÍ,"0,46"
Bages,7,226,189,415,Bages,87.395,89.496,176.891,"21,6","25,3","23,5","-3,6",SÍ,"0,86"
Garrigues,18,4,1,5,Garrigues,9.838,9.042,18.880,"1,0","4,4","2,6","-3,4",SÍ,"0,23"
Conca de Barberà,16,7,5,12,Conca de Barberà,10.162,9.690,19.852,"4,9","7,2","6,0","-2,3",SÍ,"0,68"
Priorat,29,1,0,1,Priorat,4.827,4.353,9.180,"0,0","2,3","1,1","-2,3",SÍ,"0,00"
Alt Penedès,3,75,66,141,Alt Penedès,54.067,54.272,108.339,"12,2","13,8","13,0","-1,6",SÍ,"0,88"
Baix Ebre,9,15,9,24,Baix Ebre,38.730,38.469,77.199,"2,3","3,9","3,1","-1,6",SÍ,"0,60"
Alt Camp,1,15,12,27,Alt Camp,22.544,21.880,44.424,"5,3","6,9","6,1","-1,5",SÍ,"0,78"
Garraf,17,75,63,138,Garraf,72.692,74.943,147.635,"8,7","10,0","9,3","-1,3",SÍ,"0,87"
Maresme,21,237,203,440,Maresme,219.901,226.971,446.872,"9,2","10,4","9,8","-1,2",SÍ,"0,88"
Ribera d'Ebre,30,1,0,1,Ribera d'Ebre,10.931,10.679,21.610,"0,0","0,9","0,5","-0,9",SÍ,"0,00"
Pla d'Urgell,27,8,7,15,Pla d'Urgell,18.890,18.145,37.035,"3,7","4,4","4,1","-0,7",SÍ,"0,84"
Baix Empordà,10,31,28,59,Baix Empordà,65.986,66.298,132.284,"4,2","4,7","4,5","-0,4",SÍ,"0,91"
Montsià,22,8,7,15,Montsià,34.336,33.961,68.297,"2,0","2,4","2,2","-0,3",SÍ,"0,87"
Segarra,32,4,4,8,Segarra,11.736,10.881,22.617,"3,4","3,7","3,5","-0,3",SÍ,"0,93"
Gironès,20,91,87,178,Gironès,92.712,95.792,188.504,"9,4","9,5","9,4","-0,1",SÍ,"0,99"
Terra Alta,37,1,1,2,Terra Alta,5.818,5.534,11.352,"1,7","1,8","1,8","-0,1",SÍ,"0,95"
Solsonès,35,1,1,2,Solsonès,6.898,6.741,13.639,"1,4","1,5","1,5","0,0",NO,"0,98"
Cerdanya,15,0,0,0,Cerdanya,9.234,8.827,18.061,"0,0","0,0","0,0","0,0",NO,"0,00"
Pallars Sobirà,26,0,0,0,Pallars Sobirà,3.547,3.349,6.896,"0,0","0,0","0,0","0,0",NO,"0,00"
Osona,24,118,118,236,Osona,79.283,79.475,158.758,"14,9","14,8","14,9","0,0",NO,"1,00"
Vallès Occidental,40,566,555,1121,Vallès Occidental,454.055,469.921,923.976,"12,2","12,0","12,1","0,2",NO,"1,01"
Segrià,33,58,61,119,Segrià,103.340,102.789,206.129,"5,9","5,6","5,8","0,3",NO,"1,05"
Tarragonès,36,79,81,160,Tarragonès,127.513,129.941,257.454,"6,4","6,1","6,2","0,3",NO,"1,04"
Vallès Oriental,41,238,245,483,Vallès Oriental,204.020,204.652,408.672,"12,0","11,6","11,8","0,4",NO,"1,03"
Urgell,38,7,8,15,Urgell,18.444,18.018,36.462,"4,3","3,9","4,1","0,5",NO,"1,12"
Barcelonès,13,2239,2099,4338,Barcelonès,1.075.248,1.189.053,2.264.301,"19,5","18,8","19,2","0,7",NO,"1,04"
Pla de l'Estany,28,15,16,31,Pla de l'Estany,15.949,16.136,32.085,"10,0","9,3","9,7","0,7",NO,"1,08"
Baix Llobregat,11,625,636,1261,Baix Llobregat,401.836,417.047,818.883,"15,8","15,0","15,4","0,8",NO,"1,06"
Alt Empordà,2,11,17,28,Alt Empordà,69.049,68.902,137.951,"2,5","1,6","2,0","0,9",NO,"1,54"
Selva,34,60,73,133,Selva,85.010,83.459,168.469,"8,6","7,2","7,9","1,4",NO,"1,19"
Ripollès,31,3,5,8,Ripollès,12.456,12.461,24.917,"4,0","2,4","3,2","1,6",NO,"1,67"
Baix Camp,8,25,41,66,Baix Camp,94.768,97.477,192.245,"4,3","2,6","3,4","1,8",NO,"1,69"
Anoia,6,210,226,436,Anoia,60.732,60.110,120.842,"37,2","34,9","36,1","2,3",NO,"1,07"
Noguera,23,5,12,17,Noguera,19.693,18.533,38.226,"6,1","2,7","4,4","3,4",NO,"2,26"
Alt Urgell,4,1,5,6,Alt Urgell,10.103,10.052,20.155,"4,9","1,0","3,0","4,0",NO,"4,97"
Pallars Jussà,25,7,10,17,Pallars Jussà,6.604,6.310,12.914,"15,1","11,1","13,2","4,0",NO,"1,36"
Berguedà,14,41,50,91,Berguedà,19.599,19.675,39.274,"25,5","20,8","23,2","4,7",NO,"1,22"
Baix Penedès,12,29,56,85,Baix Penedès,52.641,51.832,104.473,"10,6","5,6","8,1","5,0",NO,"1,90"
Alta Ribagorça,5,0,1,1,Alta Ribagorça,1.977,1.843,3.820,"5,1","0,0","2,6","5,1",NO,"0,00"